chain,wallet_normalized,top10_count,tokens,meme_ids,star_level,score
bnb,0x055a3b37957bfbd3345bed9968e7e8dd56d67066,5,"$牛来, $币安人生, $龙虾, $BANANAS31, $SIREN","3, 5, 6, 7, 8",⭐⭐⭐,7
bnb,0x595db43fb04e1422222ecb327d98ddafdc814241,2,"$币安人生, $BANANAS31","5, 7",⭐⭐,3
bnb,0x000000a5aa50833cbdd1a6c8f484058c1323f042,1,$BANANAS31,7,⭐,1
bnb,0x0121525f755c9e7bbc525bba6672716ab46ced57,1,$牛来,3,⭐,1
bnb,0x021339b32fa1b40c7773f70e5a1835a7fd01de07,1,$牛来,3,⭐,1
bnb,0x07093194a963a68e436413cd4d8c5406c990fad4,1,$SIREN,8,⭐,1
bnb,0x0751516903dfc25fcbd41e7d527a7cbdc3966595,1,$龙虾,6,⭐,1
bnb,0x0c175c6a0065ee05f871a68783d2de432a1e6cbe,1,$MarsCoin,2,⭐,1
bnb,0x0cac9c3d7196f5bbd76fadcd771fb69b772c0f9d,1,$币安人生,5,⭐,1
bnb,0x0f0067cd819cb8f20bda62046daff7a2b5c88280,1,$BANANAS31,7,⭐,1
bnb,0x107902a7438e82af93972ff4982eac6234795841,1,$哈基米,4,⭐,1
bnb,0x171fd09afc6a0427e3ec15551032231aa686a94d,1,$币安人生,5,⭐,1
bnb,0x1c5f1f76aaea3ba8999c11821400c9d66cf85d50,1,$SIREN,8,⭐,1
bnb,0x1cfde1a41ba809153bb667e349bb606aca6be58f,1,$b-money,11,⭐,1
bnb,0x1d755ac8119466b5baef48879501747ec1aedbe3,1,$哈基米,4,⭐,1
bnb,0x1f562394e8d45d507f0f40f163e4e562c1bfd330,1,$b-money,11,⭐,1
bnb,0x1f64eeb8498be8658da7ff480d575ec7a545ea69,1,$b-money,11,⭐,1
bnb,0x22af7297243c4eef12e2d5a4f888b92e56bf127c,1,$龙虾,6,⭐,1
bnb,0x2408ce75d217e3a70d6ca370c78c1b34d706f5a0,1,$牛来,3,⭐,1
bnb,0x26ed6ab0d9b399d8a86bd99c876257c2f25ed85d,1,$币安人生,5,⭐,1
bnb,0x2744d352f7e892f2b1a4720e51e375a1e27e3104,1,$龙虾,6,⭐,1
bnb,0x28ef4aa9d5b9f5ef70c7eb0da2edac8bcd58304e,1,$Broccoli,10,⭐,1
bnb,0x31fe301604fd45605edbd2a9656440c7a1bef337,1,$牛来,3,⭐,1
bnb,0x381adb39466f87011b3e969ce74d8cd4f1d68168,1,$哈基米,4,⭐,1
bnb,0x392eb7553df2400e0a3fc8ac65f35ae3114a3924,1,$Broccoli,10,⭐,1
bnb,0x3d4f0513e8a29669b960f9dbca61861548a9a760,1,$BANANAS31,7,⭐,1
bnb,0x3d9a49724803add8f2dcb42130593bcb84a34766,1,$币安人生,5,⭐,1
bnb,0x4384b10fcdbc8996612f07ec5c219b72f924712f,1,$MarsCoin,2,⭐,1
bnb,0x472d24f4d017b76c99e437117e3f43f0f3704c06,1,$哈基米,4,⭐,1
bnb,0x4a905dd3be79648862403ddf71aa9d90981dc6d3,1,$BANANAS31,7,⭐,1
bnb,0x53d92c4a321c3aa50e93bde1e5874dd9c0ce08a2,1,$龙虾,6,⭐,1
bnb,0x56c262027e0de4aea31d2489529cb25d23e58a8b,1,$MarsCoin,2,⭐,1
bnb,0x5a036136290afa666f012ad6dc2ee48aef46998e,1,$牛来,3,⭐,1
bnb,0x5d65ac436e045fef100b457ce160d42b9ed484a6,1,$哈基米,4,⭐,1
bnb,0x5e7320fd90f28d154adbf2a9381e2cdda6c6579a,1,$Broccoli,10,⭐,1
bnb,0x5f80bfb090954bb0e18c35d2cdbefbfaff1ababb,1,$TUT,9,⭐,1
bnb,0x639cf6961b227d73fc4015380104249571c73da4,1,$牛来,3,⭐,1
bnb,0x693f6da6ead9dd99e671418d2c06579374ad6902,1,$龙虾,6,⭐,1
bnb,0x6943d7cee56be9a644ab673ff1557ce943586b1e,1,$b-money,11,⭐,1
bnb,0x696d1265c8fc4f14797abebfae3c43ebfa9d8e28,1,$牛来,3,⭐,1
bnb,0x69d9340e9fd1016998a9a8344b00b3fac86a4661,1,$龙虾,6,⭐,1
bnb,0x6b4db81e95d76b24f7a98495ecb30af9cc31566f,1,$Broccoli,10,⭐,1
bnb,0x6c9ae6b9a81343680e4c90b710958112c1109b9e,1,$MarsCoin,2,⭐,1
bnb,0x6d5ad1592ed9d6d1df9b93c793ab759573ed6714,1,$Broccoli,10,⭐,1
bnb,0x6d8ac75d911bf7339fcf414ea79ae1edde18dabc,1,$MarsCoin,2,⭐,1
bnb,0x6fde3b5f6db5d4bd9d8cb3e609c482558685bc17,1,$龙虾,6,⭐,1
bnb,0x6feff0dd8c7eca63efb329cd6bcda8b645030537,1,$SIREN,8,⭐,1
bnb,0x776b1e178bd80fea40999bf4291e30af1a56ec10,1,$MarsCoin,2,⭐,1
bnb,0x7780846d2432116ac53b53b14c8b7678eaa89f9f,1,$SIREN,8,⭐,1
bnb,0x7afab4299d2a85559ab9e2ef76e3d64820f7195b,1,$TUT,9,⭐,1
bnb,0x7f25e38e7c58632130078a05fe8baf5959af4d6b,1,$龙虾,6,⭐,1
bnb,0x82ec31d69b3c289e541b50e30681fd1acad24444,1,$哈基米,4,⭐,1
bnb,0x88a7615f4708ba0d62c86f44a98c9da2e1fb91c1,1,$b-money,11,⭐,1
bnb,0x8a8ae8de7724d43b2f7022a32570930cf79583f6,1,$SIREN,8,⭐,1
bnb,0x8edafa12d7046b209e614cb536718b3f1feda8ba,1,$b-money,11,⭐,1
bnb,0x8fe4dbe567cd549243f4119633dbf231bde94d38,1,$b-money,11,⭐,1
bnb,0x924fa68a0fc644485b8df8abfa0a41c2e7744444,1,$币安人生,5,⭐,1
bnb,0x96beb0b5ad8205c1929fa1b88cef4e1dfbe62770,1,$牛来,3,⭐,1
bnb,0x997a58129890bbda032231a52ed1ddc845fc18e1,1,$SIREN,8,⭐,1
bnb,0x9b5f9d2c6319d63da728405b4d286924383be257,1,$BANANAS31,7,⭐,1
bnb,0x9c1bd151a37ce9ca80602d67a5844790d6b37895,1,$龙虾,6,⭐,1
bnb,0x9d32095e0031030c5f717400ea490f3490cea7b1,1,$BANANAS31,7,⭐,1
bnb,0xa4f1d968c7b2580efe01cfff3e9c627060618cd0,1,$币安人生,5,⭐,1
bnb,0xa6033fa3cb4260bd47ce4739ed94de0e2a84ca27,1,$TUT,9,⭐,1
bnb,0xa60d24a163e8f07ed5336ce726be1f876c89ff5d,1,$Broccoli,10,⭐,1
bnb,0xa67d7eb4dc68fa6ce8e34ef8cadaf075b9893fbb,1,$MarsCoin,2,⭐,1
bnb,0xabb2acd3be814a80e502575d6c1dc5f789e9cd10,1,$MarsCoin,2,⭐,1
bnb,0xac7e0a8babce37da4d774bb074921697a541c6af,1,$哈基米,4,⭐,1
bnb,0xaf04dee72b2bc4d77c20f75adecc45cb30ac698b,1,$牛来,3,⭐,1
bnb,0xb09847e13de56db6603f575bdbfd5c4fcb2d92fa,1,$Broccoli,10,⭐,1
bnb,0xb1f3eca8f528518b711e192f270378c2db57fc0d,1,$Broccoli,10,⭐,1
bnb,0xb3192791af7bb228f76b94c61b6967f4bd9c597f,1,$哈基米,4,⭐,1
bnb,0xb95aef34715696bfb80b8df98d3ad75742eb4947,1,$哈基米,4,⭐,1
bnb,0xb96f56ef04e6729f6e819c109526e45319b146cd,1,$b-money,11,⭐,1
bnb,0xbdd705c1bea262817f6d3a5cf480cceccae8d0ab,1,$币安人生,5,⭐,1
bnb,0xbeea1d618e533a387d941f58a7d4c9b7bd377777,1,$牛来,3,⭐,1
bnb,0xc09960fe824800adb88383ccb495699c87d5d06a,1,$Broccoli,10,⭐,1
bnb,0xc1950c51d59a896da027fb4698f58e6d5ce7cbc7,1,$Broccoli,10,⭐,1
bnb,0xc33bacff9141da689875e6381c1932348ab4c5cb,1,$哈基米,4,⭐,1
bnb,0xc4293c4eab2a90380a5e5d36140c9256faef8202,1,$b-money,11,⭐,1
